index,#,,@Username,Country,Topics,Followers,Engagement Rate
35,536,,Youness Lrhilrha@younesslrhilrha,Morocco,Fashion,150.1K,4.60%
36,537,,Bijouterie sabri🇲🇦@bijouteriesabri,Morocco,,150K,0%
37,538,,O U S S A M A  J A Â M I © 🇲🇦@ossamajaami,Morocco,Fashion,149.4K,1.50%
38,539,,styliste Abir el yassini@styliste_abir_elyassini,Morocco,"Fashion
Styling
Modeling",149.2K,0%
39,540,,Sanae Rayhani@krtasnssa_officiel,Morocco,,148.7K,8.60%
40,541,,Nina@ninaprestige_,Morocco,"Music
Fashion
Lifestyle",147.5K,0%
41,542,,•F A T I M A  Z A H R A E•@fvtijm,Morocco,"Fashion
Lifestyle
Modeling",146.9K,4.50%
42,543,,🥀 SALMA ••• 🇲🇦@selma.atif,Morocco,"Fashion
Lifestyle
Art",146.7K,4.40%
43,544,,Makeup Artist iatimad@makeupartistiatimad,Morocco,"Art
Beauty",146.3K,0.10%
44,545,,A S S O U M A  أسومة@assouma_beauty,Morocco,"Lifestyle
Beauty
Fashion",146.3K,1.30%
45,546,,Jalila Talemsi Officiel@jalilatalemsi,Morocco,,146.1K,0.80%
46,547,,# Fashionmostafaa@fashionmostafaa,Morocco,"Fashion
Celebrities
Design",145.4K,4.00%
47,548,,Chey آميره@amira_cheey,Morocco,"Fashion
Lifestyle
Modeling",145.2K,0.01%
48,549,,Decathlon Maroc@decathlon.ma,Morocco,"Lifestyle
Sports
Travel",144.8K,0.40%
49,550,,Artiste 🔵@drisslahlou01,Morocco,"Art
Modeling
Fashion",144.8K,0.90%
50,551,,The Cherry Blossom@zinebrachid,Morocco,"Fashion
Lifestyle
Styling",144.7K,2.30%
51,552,,KARIM DRIF كريم الظريف@karimdrif7,Morocco,"Fashion
Modeling",144.7K,0%
52,553,,Imane ( Rimane Beauty )@rimane_beauty,Morocco,"Art
Beauty
Fashion",144.6K,1.50%
53,554,,⠀⠀⠀⠀⠀⠀⠀⠀⠀   ⠀H a r i k a   O L@harikaol,Morocco,"Fashion
Celebrities
Hair & Beauty
Health & Fitness
Design",144.2K,3.00%
54,555,,sbitar 36@sbiitar__36,Morocco,,143.6K,1.50%
55,556,,ᴍᴀʀᴏᴜᴀɴᴇ ᴋʜᴀᴛɪᴍ   🇲🇦@marouane_khatim,Morocco,"Fashion
Travel",143K,2.70%
56,557,,lailakamil@cuisine_lailakamil,Morocco,,143K,0.30%
57,558,,Snap 👻 Hatem-Sandy@hatemsandy,Morocco,,142.5K,3.50%
58,559,,🌸Fatima-Ezzahra 🎀فاطمة الزهراء@fateez_,Morocco,Writers,142K,6.70%
59,560,,Souraya | سورية@oubillla,Morocco,"Fashion
Lifestyle
Modeling",141.5K,4.00%
60,561,,Zaïna Aguenaou 🦘@zainaaguenaou,Morocco,"Lifestyle
Fashion
Health & Fitness
Hair & Beauty
Celebrities",141.3K,3.50%
61,562,,THE SAVANNAH 🌴@the__savannah,Morocco,"Music
Travel
Adventure
Photography",141K,5.80%
62,563,,BYS Cosmetics Maroc Officiel@byscosmeticsmaroc,Morocco,"Beauty
Art",140.7K,0.10%
63,564,,Sy Mehdi@symehdi1_officiel,Morocco,,140.4K,0.60%
64,565,,تونسية 🇹🇳 //مغربية🇲🇦@sabrina.sadkaoui,Morocco,"Modeling
Fashion",139.4K,0.50%
65,566,,Ichrak Youtuber officiel✌🌞@ichrak.beauty,Morocco,"Fashion
Lifestyle",138.5K,4.50%
66,567,,Infinix Morocco@infinixmorocco,Morocco,,138.5K,0.10%
67,568,,Ines Camilia Tazi@taziines,Morocco,"Fashion
Lifestyle",138.2K,9.20%
68,569,,Ouadih Dada@ouadih_dada,Morocco,"Lifestyle
Sports",138.1K,0.20%
69,570,,• | Imane Asoula | •@imane_asoula,Morocco,"Fashion
Modeling",137.9K,3.70%
70,571,,🌟 وداد العمري 🌟@w_idad,Morocco,"Fashion
Lifestyle
Styling",137.6K,1.30%
71,572,,YASSMINA@yassminajh,Morocco,"Lifestyle
Fashion
Sports
Technology
Celebrities",136.5K,0.40%
72,573,,MarouaneMZIRIRA | Filmmaker@marouanemzirira,Morocco,"Soccer
Lifestyle",136.3K,0.90%
73,574,,Wild Clothing@_wild_clothing,Morocco,"Fashion
Styling
Lifestyle",135.2K,0.90%
74,575,,Afaf&Marwa@afafandmarwa,Morocco,"Fashion
Lifestyle
Travel
Hair & Beauty
Celebrities",135K,2.00%
75,576,,Rita_Trendy@rita_trendy,Morocco,"Fashion
Lifestyle",135K,2.20%
76,577,,febrayer.com@febrayerofficiel,Morocco,Modeling,134.9K,0.10%
77,578,,𝐿𝑜𝒻𝓁𝓊𝓍𝓊𝓇𝓎@lofluxury,Morocco,"Fashion
Lifestyle
Modeling",134.8K,2.10%
78,579,,Yassine hairstyle@yassine_hairstyle,Morocco,"Styling
Fashion
Hair Salons",134.7K,2.90%
79,580,,Patrick Baiata Official@patrick_baiata,Morocco,"Fashion
Modeling",133.4K,3.00%
80,581,,Bouchama wafaa🐪@sahara_glamour_,Morocco,"Fashion
Modeling",132.5K,0.10%
81,582,,🌕🌖🌑﷽ سي محمد حدوز 🌑🌖🌕Ⓜ️️️️@simohamedhaddouz1,Morocco,"Fashion
Modeling
Fashion Design",132.2K,0.80%
82,583,,👑 Mly Amine Daoui Batma 👑@aminedaoui.officiel,Morocco,Modeling,132K,0%
83,584,,Nasser36😂🎬@nassertv1,Morocco,"Fashion
Beauty
Modeling",132K,12.00%
84,585,,Zakaria Mohafid | Lmech 🐱@zakariamohafid,Morocco,"Fashion
Modeling
Lifestyle",131K,1.40%
85,586,,Chikito Lema Mabidi Officiel@chikitolemamabidi,Morocco,"Soccer
Sports",130.9K,2.60%
86,587,,خَالٌتي ٌالطِّيَابَة@khalti_teyaba,Morocco,,130.6K,0.20%
87,588,,AwAtiF▪️Fashionista/Youtuber@assrarbeauty,Morocco,"Fashion
Moms
Lifestyle",130.5K,0.20%
88,589,,Mouhcine Malzi@mouhcinemalziofficiel,Morocco,"Actors
Lifestyle
Sports
Music",130.5K,2.20%
89,590,,a l i c e + g a b y@leriadyasmine,Morocco,"Photography
Nature & Outdoors
Travel
Architecture",130.3K,1.20%
90,591,,🎼 O T H M A N - M A Y O R 🎼@othman.mayor,Morocco,"Music
Singer",130.1K,0.10%
91,592,,لالة_عديلة_المفريبية@lala_3adila,Morocco,"Fashion
Gym
Modeling",130.1K,0.30%
92,593,,Nadia Kounda@nadiakoundaofficial,Morocco,"Actors
Lifestyle
Fashion
Sports",129.8K,2.60%
93,594,,𝕲𝖓𝖆𝖜𝖎@gnawiofficial,Morocco,Modeling,129.5K,6.00%
94,595,,Fatiha amine   فتيحة امين@fatihaamineofficiel,Morocco,,129K,0.30%
95,596,,Maroc/المغرب🇲🇦@maryembout,Morocco,"Fashion
Lifestyle
Modeling",128.1K,0%
96,597,,Salma Oubriim Fashion designer@salma_oubriim_fashiondesigner,Morocco,"Fashion
Lifestyle
Fashion Design",127.2K,0.10%
97,598,,Micha PT@michafit,Morocco,"Training
Fitness
Coaching",127K,7.20%
98,599,,Zina official@9anatzina,Morocco,Fashion,126.9K,0.30%
99,600,,👑anass69666👑@hox_khoo,Morocco,"Soccer
Fashion",126.5K,0.10%
0,601,,soufianballouk@soufian.ballouk,Morocco,"Training
Fitness
Coaching",126.5K,2.30%
1,602,,Aji nsewlek@ajinsewlek,Morocco,"Fashion
Lifestyle",126.4K,2.30%
2,603,,Andal Hassisni@andalhassisni,Morocco,"Lifestyle
Music
Singer",125.8K,1.10%
3,604,,عبدالرحيم المويسي@abderrahim_mouissi,Morocco,,125.7K,0.10%
4,605,,International Moroccan beauty@bnat_almaghrib,Morocco,"Fashion
Lifestyle
Beauty",125.6K,0.30%
5,606,,🌹 WELCOME TO | SK.SALIMA🌹@sk.salima,Morocco,"Fashion
Lifestyle
Styling",125.5K,0%
6,607,,Ciné.Rouge@cine.rouge,Morocco,,125.2K,1.10%
7,608,,G h  a s s a n غسان@ghassanofficiel,Morocco,"Fitness
Coaching
Training",124.8K,1.00%
8,609,,cosmetic_care_karim@cosmetic_care_karim,Morocco,,124.7K,0.10%
9,610,,Electrophone 🔹@fashion_sud00,Morocco,Lifestyle,124.7K,0.90%
10,611,,مريم | Mariem@mariembeautiness,Morocco,"Fashion
Lifestyle
Beauty
Hair & Beauty",124.1K,1.70%
11,612,,hafssa el cooking@hafssa_cooking8,Morocco,"Food
Cooking
Chef",124K,1.10%
12,613,,A͜͡s͜͡m͜͡a͜͡e͜͡@asmae_accessories_shop,Morocco,"Fashion
Art
Modeling",123.9K,0%
13,614,,عدسات  SEE  LENS🇲🇦@se__lens,Morocco,"Fashion
Beauty
Art",123.5K,0%
14,615,,Reda El Alaoui | رضـا العلـوي@redaelalaouiofficial,Morocco,"Modeling
Fashion",122.9K,1.10%
15,616,,الهاپي@lhaapy,Morocco,"Fashion
Gym
Modeling",122.8K,0.03%
16,617,,Nahed Rachad@nahedrachad,Morocco,"Lifestyle
Sports
Modeling",122.3K,0.20%
17,618,,Abdelilah Ayoubi@ayoubistudio,Morocco,"Fashion
Modeling
Lifestyle",122K,0%
18,619,,El Ghalia Boussoula@ghalia_bossola,Morocco,,121.9K,0.50%
19,620,,El Ghazy Hamza@elghazy_hamza,Morocco,"Modeling
Fashion
Photography
Celebrities
Hair & Beauty",121.6K,0.20%
20,621,,Top Commentaire Marocaine@x.dayler.x,Morocco,,120.9K,0.50%
21,622,,👑QUEEN OF INNOCENCE👑@firdaousseelwardi,Morocco,"Fashion
Modeling
Lifestyle",120.7K,0.90%
22,623,,@elhajoujileilarafinity,Morocco,"Fashion
Jewelry
Design",120.5K,0.40%
23,624,,Nouhaila Dl@nouha_dl_,Morocco,,120.4K,0.40%
24,625,,My Dear Morocco@mydearmorocco,Morocco,"Travel
Photography
Nature & Outdoors
Architecture",120K,0.80%
25,626,,Omar El Mekkaoui@oelmekkaoui,Morocco,"Fashion
Lifestyle
Travel",119.9K,18.80%
26,627,,Pinkbarnails&spa@pinkbaronglerie,Morocco,"Lifestyle
Fashion",119.8K,0%
27,628,,||𝓼𝓸𝓾𝓯𝓲𝓪𝓷𝓮||苏菲安||🇲🇦🇫🇷@mr_soufiane_crazyi,Morocco,"Bikini
Fashion
Modeling
Celebrities
Design
Hair & Beauty",119.8K,1.40%
28,629,,M E R Y A M    F A D E L@rim_sweet_home,Morocco,"Design
Interior Design
Lifestyle",119.6K,0.80%
29,630,,Houda Larini@larinihouda,Morocco,"Luxury
Fashion",119.6K,0.60%
30,631,,Twin N Twice@twinntwice,Morocco,"Music
Singer
Entertainment",119.1K,2.70%
31,632,,Maryam Rasd@z2uw,Morocco,,119.1K,0.60%
32,633,,Patrice Beaumelle@patricebeaumelle,Morocco,Soccer,118.9K,0.80%
33,634,,أسرار الجمال 🌴@miyem_beauty2,Morocco,"Fashion
Lifestyle
Celebrities",118.2K,0.40%
34,635,,📍نرجــــس@narjismaahi,Morocco,Art,117.9K,0.30%
35,636,,Hikmate حكمت@hikmateofficial,Morocco,,117.9K,0.50%
36,637,,انسطا طنجاوي |Insta TanjaOui@insta_tanjaoui,Morocco,,117.7K,1.60%
37,638,,INTERNATIONAL  PHOTOGRAPHER  📷@othmanbenhaddouch,Morocco,"Photography
Technology",117.6K,0.60%
38,639,,Sonia Guerraoui صونية الگراوي@lateliersoniacouture,Morocco,"Fashion
Fashion Design
Lifestyle",117K,0.70%
39,640,,Mautassin@mautassin,Morocco,"Fashion
Lifestyle",116.8K,0.10%
40,641,,tazi_oficial 🇲🇦🔹@tazi_oficial,Morocco,,116.7K,0.70%
41,642,,M A J D O U L I N E 🕊.@majdouulin,Morocco,"Modeling
Fashion",116.6K,0%
42,643,,Yusra Idrissi@moroccanmusthaves,Morocco,"Fashion
Lifestyle",116.2K,1.20%
43,644,,AZZEDNE FETOUHI@azzedinefetouhi,Morocco,Writers,115.9K,3.10%
44,645,,ضابط المشاهير 👮@dabit_almashahir,Morocco,"Fashion
Gym
Modeling",115.8K,0.40%
45,646,,ᎾℳᎯℛ ЅℬᎯℐ 🥀@its.seok,Morocco,"Fashion
Lifestyle
Modeling",115.7K,1.20%
46,647,,H & N ✨@h.n_creation,Morocco,Fashion,115.5K,0.60%
47,648,,SAAD ABID@saadabidofficiel,Morocco,Surfing,115.5K,1.10%
48,649,,Abderrafia El Abdioui@abderrafia_elabdioui,Morocco,"Modeling
Fashion",115.5K,0.90%
49,650,,Salma Raiss El Fenni@aminasdaughtershautecouture,Morocco,"Fashion
Fashion Design
Lifestyle",114.9K,0%
50,651,,Australian Medical Centre@australian_medical_centre,Morocco,"Lifestyle
Sports",114.8K,0.10%
51,652,,Hani Khattab@hanikhattab.official,Morocco,"Modeling
Singer",114.4K,1.40%
52,653,,Bad Flow باد فلو@badflow.official,Morocco,"Music
Modeling
Singer",114.3K,1.70%
53,654,,Badr Akhlouf 🇲🇦بدرالدين أخلوف@badr_akhlouf,Morocco,"Actors
Modeling
Music",114.2K,1.50%
54,655,,🎀 emone beauty 🎀@emone_beauty,Morocco,"Fashion
Lifestyle
Modeling",113.6K,0.80%
55,656,,K H A O U L A | خولة@by_khaoula,Morocco,"Fashion
Lifestyle",113.5K,2.30%
56,657,,Hajar   🎵    هجر@hajarsdofficial,Morocco,"Modeling
Singer
Music",113.5K,1.30%
57,658,,Skowza@zakariae_mouwafaq,Morocco,,112.8K,0.10%
58,659,,Regina@regiwafae,Morocco,"Modeling
Music",112.3K,0.50%
59,660,,Leila El Berrak ليلى البراق@leilaelberrak,Morocco,"Music
Modeling
Lifestyle",112.3K,0.40%
60,661,,Beniiz'art زينب@beniizart,Morocco,"Design
Interior Design
Lifestyle",112.2K,0%
61,662,,Hasnaa Friki@hasnaafriki,Morocco,"Art
Beauty",112K,0.30%
62,663,,Ayasri Luxury@a_ayasriluxury,Morocco,"Luxury
Fashion",111.7K,0.10%
63,664,,علمتني الأمومة@ilhamnejjariofficiel,Morocco,Moms,111.6K,0.30%
64,665,,💐 SOUHAIR💐 💐BEAUTY  💐@souhair.beauty,Morocco,"Modeling
Fashion",111.6K,0.60%
65,666,,said jrifi | سعيد جريفي@saidjrifi,Morocco,"Technology
Photography
Film, Music & Books",111.5K,0.60%
66,667,,"Klomklinsuk, J.@kararannn",Morocco,"Streetwear
Shoes
Fashion",111K,1.00%
67,668,,SALLY LASELY سالي لازلي@badass_lasely,Morocco,"Fitness
Training
Coaching",110.3K,9.20%
68,669,,👑⚫️الوداد الرياضي ⚫️👑@wydad_family05,Morocco,"Fashion
Gym
Modeling",110.2K,2.10%
69,670,,Soufiane Agn@agnsoufiane,Morocco,"Fashion
Modeling
Lifestyle",110.1K,12.80%
70,671,,Tarek Hamwieh@tarekhamwieh,Morocco,"Fashion
Coaching
Fitness",109.7K,0.50%
71,672,,Galaxy_pool@galaxy_pool,Morocco,,109.4K,0.60%
72,673,,Cuisine oum Nidal@cuisineoumnidal,Morocco,"Chef
Food",109.2K,0.60%
73,674,,ZILA RUSSI@zilarussi.shoes,Morocco,Shoes,108.7K,0.10%
74,675,,كوثر 💎 ال-ياقوت@el_yaqout,Morocco,"Beauty
Art
Lifestyle",107.9K,1.30%
75,676,,Festival Mawazine@mawazine,Morocco,"Events
Lifestyle
Fashion",107.8K,1.00%
76,677,,Saad Lamjarred 🇲🇦@_saad_lamjarred,Morocco,,107.5K,0.50%
77,678,,Rafinity Haute Couture@rafinityhautecouture,Morocco,"Fashion
Fashion Design",107.5K,0.40%
78,679,,﷽@selma.laacha,Morocco,"Music
Singer
DJ",107.5K,0.60%
79,680,,Hind_ague@hind_ague,Morocco,Fashion,107.4K,4.70%
80,681,,Camille Petrouvi@camillepetrouvi,Morocco,"Art
Beauty
Business",107.3K,0.40%
81,682,,Mehdy Nejmeddine@nejmeddiine,Morocco,"Fashion
Travel
Journalists",107.3K,1.60%
82,683,,Inspiring Model/Influencer@imansymonds,Morocco,"Moms
Fashion
Modeling",107K,1.90%
83,684,,nouamaneounaceur1| نعمان اناصر@nouamaneounaceur1,Morocco,,106.9K,0.30%
84,685,,Hajar Anabir@theroutinebyhajar,Morocco,"Celebrities
Fashion
Design",106.1K,2.20%
85,686,,Fatine Zaïmi ✨@fatine_zaimi,Morocco,"Lifestyle
Fashion
Photography",106.1K,4.10%
86,687,,NAYA@nadyalakkioui,Morocco,"Actors
Fashion
Modeling
Styling",105.6K,0%
87,688,,مطبخ ام انس@matbakh_om_anas,Morocco,"Food
Cooking",105.5K,0.70%
88,689,,Abdou Rhanem@abdourh,Morocco,"Modeling
Film, Music & Books
Design",105.4K,9.70%
89,690,,Hajar Beauty@hajar.beauty,Morocco,"Fashion
Lifestyle
Beauty",105.3K,1.00%
90,691,,🌹   ﷽  🌹@chaimaeelriffi,Morocco,Fashion,105K,0%
91,692,,Zineb Tmoulik@zinebtmk,Morocco,"Fashion
Lifestyle
Styling",104.9K,3.00%
92,693,,"Making History.[NL,FR,D,ES,MA]@morocco.nl",Morocco,"Music
Modeling",104.9K,1.70%
93,694,,Redouane Diri رضوان الديري@diriredouane,Morocco,,104.5K,0.30%
94,695,,AblaعَRaafat@ablaraafat,Morocco,"Lifestyle
Fashion
Modeling",104.1K,0.50%
95,696,,الوداد الامة ₩@wydad.lagrande,Morocco,Soccer,103.9K,0.50%
96,697,,Ritaj Mays 🕊@ritaj_mays,Morocco,"Modeling
Art
Fashion",103.8K,1.10%
97,698,,A D I L  B E N H E R R O U 👑@adil.benherrou,Morocco,Modeling,103.6K,0%
98,699,,Julien Scussel@julienscussel,Morocco,"Soccer
Modeling",103.3K,1.70%
99,700,,ACHRAF TOUDA@achraftouda97,Morocco,,103.2K,0%
0,701,,🍓••REAL FULLA OFFICIEL®••🍓@__fulla_officiel__,Morocco,,102.9K,0.01%
1,702,,Houda Rihani@houda_rihani,Morocco,,102.7K,1.60%
2,703,,NESSYOU@ne2s_u,Morocco,Music,102.5K,10.50%
3,704,,AHLAM HADDAD@ahlammhaddad,Morocco,"Fashion
Beauty
Lifestyle",102.5K,6.60%
4,705,,Issam Zayoun | عصام زيون Ⓜ️@issamzayounofficiel,Morocco,"Fitness
Gym
Coaching",102.2K,1.00%
5,706,,Halima Mourid@halimamourid,Morocco,,101.9K,1.40%
6,707,,Smartphone@pro_shop00,Morocco,"Fashion
Lifestyle",101.7K,0.10%
7,708,,Page musulmane à 100%@musulmans_couples,Morocco,"Modeling
Art
Music",101.7K,0.50%
8,709,,Oumaima💙  lll  💙آميمة@ouma_official1,Morocco,"Lifestyle
Fashion
Sports",101.5K,0%
9,710,,Dima Lbegiss 🇺🇸@lbegiss7,Morocco,"Lifestyle
Fashion
Modeling",101.3K,0.30%
10,711,,ultrasHbirkousafae@hbirkousafaa_officiel,Morocco,"Fashion
Modeling
Beauty",100.9K,2.20%
11,712,,• F T   C H A N • 🍁 • 피트 찬 •@ft.chan,Morocco,"Fashion
Lifestyle",100.8K,2.40%
12,713,,Diamantine Officiel@diamantinemaroc,Morocco,"Lifestyle
Fashion",100.2K,0%
13,714,,SUMMAR HUNJAN@iservetheface,Morocco,"Hair & Beauty
Fashion
DIY & Crafts
Celebrities",100.2K,5.10%
14,715,,YAAKOUB KHATIM@yaakoubkhatim,Morocco,Moms,100.1K,16.20%
15,716,,CHAIMAE || 🎀شيماء@chaimaae_laa,Morocco,"Fashion
Lifestyle
Modeling",100.1K,1.30%
16,717,,محبي الرجاء العالمي@mo7ibi_raja_alami_page_oficiel,Morocco,"Coaching
Training
Fitness",99.8K,0.70%
17,718,,Souad ELMAAROUFI@souadilyas,Morocco,,99.8K,0.10%
18,719,,مطبخ فاطمة نور@fatimanorcuisine_,Morocco,,99.7K,0.10%
19,720,,⠀⠀⠀⠀  ⠀⠀ ⠀⠀⠀⠀⠀      🇲🇦@tanjawaa,Morocco,,99.6K,0.90%
20,721,,غزلان العبادي👑@ghizlane_abadi,Morocco,"Fashion
Photography
Modeling",99.3K,1.10%
21,722,,Sana Moghli@sanamoghli,Morocco,"Fashion
Modeling",98.6K,0.20%
22,723,,غادي تضحك بزز منك😂@maroc.comedy,Morocco,"Modeling
Singer
Music",98.4K,1.20%
23,724,,Safa Bennamate@safabennamate,Morocco,"Lifestyle
Sports
Fashion",98.3K,2.50%
24,725,,Amina Elaouni | Miss Morocco@aminaelaouniofficial,Morocco,"Fashion
Modeling",98.2K,0.30%
25,726,,Amine & Ghita ✈ Travel Couple@jerrypeps,Morocco,"Travel
Fashion
Lifestyle",98.2K,2.50%
26,727,,Tarek Bereddad@tarekbereddad,Morocco,Photography,98.1K,0.20%
27,728,,Hanane Amjad - حنان أمجد@hananeamjad,Morocco,"Actors
Music",98K,0.50%
28,729,,sahara beauty@sahara.beauty,Morocco,"Hair & Beauty
Fashion
Celebrities",98K,0.20%
29,730,,Tmax 🇩🇿@tmax_dz,Morocco,,97.9K,0.70%
30,731,,SOFIA EL ARABI@sofiaelarabii,Morocco,"Fashion
Modeling",97.8K,3.10%
31,732,,Brayan Paquim@brayan_paquim,Morocco,"Fashion
Lifestyle
Celebrities
Technology",97.6K,1.70%
32,733,,Hanaa Dancehall@hanaa_dancehall,Morocco,"Lifestyle
Fashion",97.3K,1.50%
33,734,,Model/Youtuber/Comedian@d_o_x_x_y,Morocco,"Modeling
Fashion
Actors",97.2K,2.50%
34,735,,Anass Eladssaoui@anaselaadssaoui,Morocco,Modeling,97.1K,5.30%
35,736,,Maroc Telecom@maroctelecom,Morocco,,97K,0.10%
36,737,,Signature By Guennoun@signaturebyguennoun,Morocco,"Fashion
Fashion Design
Design",96.8K,0.30%
37,738,,🇲🇦   Makeup By Dounia   💄@makeupby_dounia,Morocco,"Art
Beauty
Fashion",96.6K,0.80%
38,739,,رانية الطاهري 🥀|Ranya Ettahiri@ettahiriranya_official,Morocco,"Fashion
Lifestyle
Modeling",96.4K,3.10%
39,740,,Fatine Benchekroun@benchekrounfatine,Morocco,Fashion,95.9K,0.40%
40,741,,Proudly Moroccan 🇲🇦@majdaelmans,Morocco,"Fashion
Modeling
Fashion Design",95.8K,0.20%
41,742,,كاميليا مجاهد 🇲🇦@kamiliamoujahid.official,Morocco,"Modeling
Fashion
Dance",94.9K,0.90%
42,743,,walid chakouri@walidchakouri23,Morocco,"Business
Entrepreneur",94.7K,2.00%
43,744,,Blood brothers 💪@blood_brothers05,Morocco,"Coaching
Training
Fitness",94.6K,1.60%
44,745,,💎B A S S M A💎@bassma_sid,Morocco,Fashion,94.3K,1.50%
45,746,,🎬 حـــــــــــــاجة مزيــــانة@sulaiman_afrij,Morocco,"Modeling
Actors",94.2K,9.50%
46,747,,Kaoutar El 😊@kaoutar_el_2,Morocco,"Art
Beauty
Fashion",94K,0%
47,748,,MGHARBA FAMILY.مغاربة فاميلي@mgharba_family_,Morocco,"Fashion
Modeling",93.9K,0.20%
48,749,,✨ || BiENVENUE À TOUS || 🇩🇿@photo__damour,Morocco,"Dogs
Pets",93.3K,0.50%
49,750,,Mehdi Lebchiri || مهدي البشيري@iamlebchiri,Morocco,"Fashion
Lifestyle
Art",93.3K,5.10%
50,751,,Welcome To My Kitchen ©@yass_cooking,Morocco,"Lifestyle
Sports
Fashion",92.9K,4.80%
51,752,,Alaoui Traiteur Tanger@alaouitraiteurtanger,Morocco,Events,92.9K,0.30%
52,753,,Abayachicshop@abayachicshop2,Morocco,"Fashion
Lifestyle",92.5K,0%
53,754,,Bahou Hamza@ba70u,Morocco,"Fashion
Modeling
Lifestyle",92.2K,2.30%
54,755,,Abdealitawfik@abdealitawfik,Morocco,"Fashion
Modeling
Lifestyle",92.1K,1.30%
55,756,,Moroccan heart🇲🇦🇲@moroccan_heart85,Morocco,,92K,0%
56,757,,Mohamed Lamnabhi | محمد لمنبهي@lamnabhi,Morocco,,91.7K,15.90%
57,758,,Salwa JD🇲🇦'@salwa.jd,Morocco,"Modeling
Fashion
Lifestyle",91.6K,2.60%
58,759,,Chef Chouhaib  ⤵Ⓜ️🇲🇦🇲🇦🇦🇪@chefchouhaib__,Morocco,"Chef
Food",91.5K,0.20%
59,760,,laila Boussalman makeup artist@laila.boussalman,Morocco,"Art
Beauty
Events",91.5K,0.60%
60,761,,tv-program presenter@bouchracharaf,Morocco,"Lifestyle
Sports
Journalists",91.5K,2.20%
61,762,,UniqueShop ( US Brands SARL )@uniqueshop_morocco,Morocco,"Beauty
Lifestyle
Fashion",91.2K,0%
62,763,,Mourad Bouriki / مراد بوريقي@mourad_bouriki,Morocco,,91.1K,0.20%
63,764,,Orthosmile Maroc Dental Clinic@orthosmilemaroc,Morocco,,91.1K,0.20%
64,765,,Amine Idbenmouh@amiine.officiele,Morocco,"Fashion
Lifestyle
Styling",90.6K,0.06%
65,766,,AyoubHamomi@ayoubhamomi,Morocco,"Moms
Fashion
Lifestyle",90.4K,0.30%
66,767,,Reem 🇲🇦@reem.officiel,Morocco,"Actors
Singer
Music
Modeling",90.3K,1.20%
67,768,,Adil Belhajjam عادل بالحجام@belhajjamadil,Morocco,,90.3K,1.10%
68,769,,انسطا ماروك اوفيسيال 👻@insta_maroc_officiel,Morocco,"Fashion
Gym
Modeling",90.1K,0.50%
69,770,,🔱 Oussama | أسامة 🔱™@oussama_criss,Morocco,"Modeling
Fashion
Lifestyle",90K,0.90%
70,771,,bijouterie.jawhara@bijouterie.jawhara,Morocco,,89.9K,0.20%
71,772,,❤💚 صفحة مغربية 💚❤@moroccan_crazy,Morocco,,89.9K,1.10%
72,773,,harit ch@ahmouchharit,Morocco,"Modeling
Fashion
Art",89.4K,2.40%
73,774,,Camélia El Badia@mimabycami,Morocco,"Fashion
Lifestyle",89.2K,15.50%
74,775,,Mohamed El Mir@anouarelmir,Morocco,,89.2K,1.30%
75,776,,WEST #TheGhost@westofficiel,Morocco,"Music
Singer
Producers",89.2K,1.80%
76,777,,Espada Yassine@espada.yassinee,Morocco,"Photography
Travel
Portraits
Celebrities
Fashion
Hair & Beauty
Technology",89.1K,2.30%
77,778,,mohamed benradi@mohamed_benradi,Morocco,"Modeling
Technology
Photography",89K,0%
78,779,,ASMA youtuber@asmaschannel,Morocco,"Moms
Dogs
Pets",88.9K,5.80%
79,780,,🎀 ASMA 🎀@nasma.couture,Morocco,"Fashion
Modeling",88.7K,0%
80,781,,Beauty Time@beauty_time_le_blog,Morocco,"Beauty
Lifestyle
Fashion
Photography",88.7K,0.90%
81,782,,سلطانة@miley.officiel,Morocco,,88.7K,6.50%
82,783,,Salon-nice-hair-agadir@salon.nice.hair.agadir,Morocco,"Styling
Hair Salons
Art",88.2K,0%
83,784,,Sami Hamza@hamza_ssami,Morocco,"Band
Modeling
Music",87.8K,17.30%
84,785,,Caftans haute couture@mescreationsbysanaaberrada,Morocco,"Fashion
Fashion Design
Lifestyle",87.8K,0.10%
85,786,,Morrocan🇲🇦@ell_sallma,Morocco,"Fashion
Modeling
Lifestyle",87.7K,2.40%
86,787,,Maison Majorelle Tanguif@maisonmajorelletanguif,Morocco,"Events
Fashion
Modeling",87.7K,6.50%
87,788,,صفحة مغربية بامتياز 💯@bonjour_les_marocains,Morocco,"Styling
Modeling
Art",87.4K,1.70%
88,789,,🔘 LOVE B'DARIJA 🔘@love_bdarija,Morocco,,87.3K,2.40%
89,790,,MAROKINOOFFICIAL@marokinoofficial,Morocco,Fashion,86.9K,1.40%
90,791,,🔹MyProtein® TeamMate 🔹 👦🏽🛡@younes_essoussi,Morocco,"Lifestyle
Sports
Fitness",86.2K,4.80%
91,792,,Oussama Tounsi | أسامة تونسي@oussamatounsiofficiel,Morocco,"Fashion
Lifestyle
Art",86.1K,0.60%
92,793,,DIY🌺VIDs🌺MY HOMEⓂ️@home_icing,Morocco,"Design
Moms
Interior Design",86.1K,0.70%
93,794,,Saoussane Hmidouch@affordably0chic,Morocco,"Fashion
Lifestyle",86K,3.20%
